date,symbol,shares,close,weight
2024-10-21,2317.TW,200000.0,210.0,0.04212111214501197
2024-10-21,2330.TW,37000.0,1085.0,0.04026076302527394
2024-10-21,2360.TW,99000.0,417.0,0.041402044587679265
2024-10-21,2382.TW,134000.0,309.0,0.041525399273246805
2024-10-21,2449.TW,325000.0,131.0,0.042697770227949634
2024-10-21,2883.TW,2340000.0,17.15,0.04024672265455894
2024-10-21,2885.TW,1240000.0,32.7,0.040664925125141554
2024-10-21,3017.TW,60000.0,677.0,0.04073713274596158
2024-10-21,3081.TWO,122000.0,339.5,0.0415384367603393
2024-10-21,3293.TWO,37000.0,1110.0,0.04118843037608671
2024-10-21,3324.TWO,55000.0,737.0,0.040651887638049056
2024-10-21,3363.TWO,179000.0,243.5,0.043712187012108675
2024-10-21,3443.TW,33000.0,1265.0,0.0418653768212744
2024-10-21,3529.TWO,13000.0,3230.0,0.04211108330878697
2024-10-21,3533.TW,25000.0,1710.0,0.04287327486188718
2024-10-21,3653.TW,27000.0,1495.0,0.04048139742222401
2024-10-21,3711.TW,254000.0,161.5,0.04113928907858419
2024-10-21,4991.TWO,649000.0,63.3,0.04120016411446996
2024-10-21,6223.TWO,50000.0,829.0,0.041569526152636815
2024-10-21,6510.TWO,73000.0,581.0,0.04253530308110459
2024-10-21,6669.TW,21000.0,1975.0,0.04159459824319932
2024-10-21,8210.TW,142000.0,290.5,0.04136995231175926
2024-10-22,2317.TW,200000.0,215.5,0.04274110427794037
2024-10-22,2330.TW,37000.0,1075.0,0.03944379170893453
2024-10-22,2360.TW,99000.0,428.0,0.04201916636809488
2024-10-22,2382.TW,134000.0,319.0,0.04239005205254847
2024-10-22,2449.TW,325000.0,136.0,0.04383194452633327
2024-10-22,2883.TW,2340000.0,17.15,0.039796827280232594
2024-10-22,2885.TW,1240000.0,33.3,0.04094815957876366
2024-10-22,3017.TW,60000.0,683.0,0.0406387576174013
2024-10-22,3081.TWO,122000.0,352.5,0.042646895347397344
2024-10-22,3293.TWO,37000.0,1120.0,0.04109492717582016
2024-10-22,3324.TWO,55000.0,723.0,0.039433874979403684
2024-10-22,3363.TWO,179000.0,244.5,0.04340106262821808
2024-10-22,3443.TW,33000.0,1280.0,0.04188826553828773
2024-10-22,3529.TWO,13000.0,3340.0,0.043058439622927394
2024-10-22,3533.TW,25000.0,1675.0,0.0415263049104119
2024-10-22,3653.TW,27000.0,1530.0,0.04096600969191918
2024-10-22,3711.TW,254000.0,164.0,0.0413091285336864
2024-10-22,4991.TWO,649000.0,63.0,0.04054653203276445
2024-10-22,6223.TWO,50000.0,834.0,0.041352762143622115
2024-10-22,6510.TWO,73000.0,581.0,0.04205982495917134
2024-10-22,6669.TW,21000.0,2025.0,0.042170892329916804
2024-10-22,8210.TW,142000.0,292.5,0.04118913610636318
2024-10-23,2317.TW,200000.0,216.0,0.04280250728804189
2024-10-23,2330.TW,37000.0,1060.0,0.038859128144375074
2024-10-23,2360.TW,99000.0,423.0,0.04149168050234561
2024-10-23,2382.TW,134000.0,317.0,0.0420871505690149
2024-10-23,2449.TW,325000.0,134.5,0.04331029166269748
2024-10-23,2883.TW,2340000.0,17.05,0.03952989891831036
2024-10-23,2885.TW,1240000.0,32.7,0.04017490892397044
2024-10-23,3017.TW,60000.0,686.0,0.04078127777721769
2024-10-23,3081.TWO,122000.0,362.0,0.04375763731178431
2024-10-23,3293.TWO,37000.0,1085.0,0.03977561701570467
2024-10-23,3324.TWO,55000.0,722.0,0.039344619546484806
2024-10-23,3363.TWO,179000.0,250.0,0.04433824539675636
2024-10-23,3443.TW,33000.0,1315.0,0.04299571305010597
2024-10-23,3529.TWO,13000.0,3410.0,0.04392210990923373
2024-10-23,3533.TW,25000.0,1660.0,0.04111814936235506
2024-10-23,3653.TW,27000.0,1480.0,0.03959231924143875
2024-10-23,3711.TW,254000.0,161.5,0.0406435567468233
2024-10-23,4991.TWO,649000.0,64.3,0.04134672664085856
2024-10-23,6223.TWO,50000.0,860.0,0.042604347532078736
2024-10-23,6510.TWO,73000.0,569.0,0.04115480891720825
