date,A,A_dplan_guard,v1_matched,0050
2024-12-31,1000000000.0,1000000000.0,1000000000.0,1000000000.0
2025-01-02,992758094.0828476,992758094.0828476,994735446.207282,998450956.9619873
2025-01-03,991807474.4646872,991807474.4646872,994670554.1452622,1007493092.8109864
2025-01-06,1011884551.7721518,1011884551.7721518,1008962834.1532648,1036010614.5089842
2025-01-07,1017959983.783358,1017959983.783358,1017900355.7578564,1046443864.5089842
2025-01-08,1022067674.9148526,1022067674.9148526,1019159388.5958376,1032301071.112988
2025-01-09,996876447.6411391,996876447.6411391,1000576906.4901242,1021635956.9619873
2025-01-10,1001763551.6293002,1001763551.6293002,1006316872.5635349,1021404092.8109864
2025-01-13,973307952.680509,973307952.680509,968110978.1203352,1000073864.5089842
2025-01-14,984625696.0516996,984625696.0516996,976898768.0785428,1005638321.112988
2025-01-15,977804243.7146038,977804243.7146038,972919378.3204132,998682821.112988
2025-01-16,999996272.9336344,999996272.9336344,998403692.8373032,1016998956.9619873
2025-01-17,989825251.6615088,989825251.6615088,990132988.8846328,1008884206.9619873
2025-01-20,999255496.5907744,999255496.5907744,999676580.5668414,1018158206.9619873
2025-01-21,1006390385.8548176,1006390385.8548176,1007985839.1183825,1020012978.6599852
2025-01-22,1025912607.203154,1025912607.203154,1031006572.8214892,1032069206.9619873
2025-02-03,1005195929.8587478,1005195929.8587478,990337799.3126732,992190992.8109864
2025-02-04,998170014.6126648,998170014.6126648,974384483.7517216,997523542.8109864
2025-02-05,1008929895.0468842,1008929895.0468842,990033396.6136228,1011202692.8109864
2025-02-06,1015040620.8882248,1015040620.8882248,1005185117.4949114,1015144142.8109864
2025-02-07,1025715783.4198724,1025715783.4198724,1018729876.4879836,1019317442.8109864
2025-02-10,1019748142.0649877,1019748142.0649877,1017706199.4433104,1008884192.8109864
2025-02-11,1024207443.7819562,1024207443.7819562,1026339310.98261,1014448592.8109864
2025-02-12,1012773897.3745222,1012773897.3745222,1013930652.8105544,1013057492.8109864
2025-02-13,1011474023.8814796,1011474023.8814796,1015982566.411184,1009116042.8109864
2025-02-14,1004530454.765404,1004530454.765404,1010426412.9399132,998219092.8109864
2025-02-17,1009420680.7698882,1009420680.7698882,1020557553.7273952,1011898242.8109864
2025-02-18,1011375261.6296628,1011375261.6296628,1020370857.3386996,1015144142.8109864
