model,period_class,months,mean_return,compounded_selected_month_return,relative_selected_month_wealth_A,mean_difference_A,months_below_A,mean_within_month_mdd,worst_within_month_mdd,track
A,weak,6,-0.05746421392775817,-0.30438916283838113,0.0,0.0,0,0.10605451558505392,0.1976996974437409,historical_pit
B,weak,6,-0.04632907602113151,-0.25568970529298596,0.07000963030436558,0.011135137906626633,3,0.09030371322024211,0.1929795696127358,historical_pit
C,weak,6,-0.05689694236765702,-0.30222252564929186,0.003114726041258953,0.0005672715601011333,2,0.10410454859518813,0.1932434311479663,historical_pit
D,weak,6,-0.04712929819957379,-0.2583188775021351,0.06622997066036507,0.010334915728184384,3,0.08906172164766386,0.1812684436679799,historical_pit
v1_matched,weak,6,-0.039570405271339044,-0.21708146038239717,0.12551228041851048,0.017893808656419066,1,0.08707609335505788,0.1275858453966317,historical_pit
0050,weak,6,-0.05372602020874853,-0.2842407665929031,0.028965040751365967,0.003738193719009649,4,0.0973054356283712,0.1502951683559737,historical_pit
A,strong_including_partial,15,0.10481661883963016,3.200715703351709,0.0,0.0,0,0.042042741984629046,0.1018035230453373,historical_pit
B,strong_including_partial,15,0.09238094819243102,2.5814190780255366,-0.14742645517097053,-0.012435670647199108,10,0.04449846048148823,0.0982655900375955,historical_pit
C,strong_including_partial,15,0.09896954798060993,2.8886961872999426,-0.0742777036310287,-0.005847070859020214,9,0.044784787944999044,0.1031921820524573,historical_pit
D,strong_including_partial,15,0.08797969356506437,2.377989265528837,-0.1958538725118738,-0.01683692527456576,11,0.04222375810234659,0.1002832309233033,historical_pit
v1_matched,strong_including_partial,15,0.09079316814737838,2.493904422951674,-0.1682597277021336,-0.014023450692251754,10,0.04280058874567746,0.1066598588247359,historical_pit
0050,strong_including_partial,15,0.07945605218662552,2.0915910563607194,-0.2640323043299574,-0.025360566653004627,9,0.028898114011508498,0.0679307071364299,historical_pit
A,strong_complete_months,14,0.11112097477498574,3.132302803352796,0.0,0.0,0,0.04321733590667942,0.1018035230453373,historical_pit
B,strong_complete_months,14,0.09953557781458174,2.609515061457473,-0.12651244760455416,-0.011585396960403994,9,0.04413691049875599,0.0982655900375955,historical_pit
C,strong_complete_months,14,0.10483916340014733,2.824464564591668,-0.07449556661514722,-0.006281811374838401,9,0.04574844111845093,0.1031921820524573,historical_pit
D,strong_complete_months,14,0.09334323430084367,2.3350006954780844,-0.19294377634373994,-0.017777740474142056,10,0.043048543254057624,0.1002832309233033,historical_pit
v1_matched,strong_complete_months,14,0.0981557681807802,2.5373545709456873,-0.14397498458350877,-0.012965206594205528,9,0.04194097464082786,0.1066598588247359,historical_pit
0050,strong_complete_months,14,0.08194168107588325,1.9594310124759677,-0.2838300692594947,-0.0291792936991025,9,0.028750068004691303,0.0679307071364299,historical_pit
A,weak,6,-0.0601075070903354,-0.31501077926924104,0.0,0.0,0,0.11690620384964694,0.1705584752468134,official_ex_post
B,weak,6,-0.03921557347139026,-0.21708986896226146,0.14295248354786638,0.02089193361894508,0,0.09085754043989706,0.1453652554537858,official_ex_post
C,weak,6,-0.05799610266247405,-0.30686958691583066,0.011885139367193487,0.002111404427861316,2,0.12058906631646782,0.1998390202384433,official_ex_post
D,weak,6,-0.0437795352475564,-0.237130746626801,0.11369526743699154,0.0163279718427789,1,0.09155984544934175,0.135319559212741,official_ex_post
v1_matched,weak,6,-0.04697819011315713,-0.2542536391556799,0.08869795067540531,0.013129316977178234,1,0.10650753668049721,0.1734223793512517,official_ex_post
0050,weak,6,-0.05372602020874853,-0.2842407665929031,0.044920433409903815,0.006381486881586851,4,0.0973054356283712,0.1502951683559737,official_ex_post
A,strong_including_partial,15,0.12506328812788248,4.511187353682322,0.0,0.0,0,0.0469219038050986,0.0836618892521888,official_ex_post
B,strong_including_partial,15,0.11758472548383378,4.055522379271349,-0.08268000072734205,-0.007478562644048692,9,0.04510862398348627,0.0947437356695889,official_ex_post
C,strong_including_partial,15,0.1256770375335459,4.605333929263795,0.017082811659191455,0.0006137494056634262,8,0.04480084174060924,0.1038373762497809,official_ex_post
D,strong_including_partial,15,0.10666889684882938,3.357861820893757,-0.2092698830167633,-0.018394391279053075,9,0.04134115154971241,0.0767756158989926,official_ex_post
v1_matched,strong_including_partial,15,0.11220592509102492,3.6684694446308184,-0.15291040840562942,-0.01285736303685754,9,0.044124341678156244,0.097461000124341,official_ex_post
0050,strong_including_partial,15,0.07945605218662552,2.0915910563607194,-0.4390335769849921,-0.04560723594125696,9,0.028898114011508498,0.0679307071364299,official_ex_post
A,strong_complete_months,14,0.13390185846852584,4.503904019007044,0.0,0.0,0,0.04634708253666058,0.0836618892521888,official_ex_post
B,strong_complete_months,14,0.12428721075618389,3.9382395279088183,-0.1027751372743374,-0.009614647712341964,9,0.04567792852669158,0.0947437356695889,official_ex_post
C,strong_complete_months,14,0.13303965678864774,4.481451117052044,-0.00407945012802946,-0.0008622016798781077,8,0.04538016950698624,0.1038373762497809,official_ex_post
D,strong_complete_months,14,0.11221056713009876,3.2346935859259336,-0.2306018471067176,-0.021691291338427083,9,0.04212151252663382,0.0767756158989926,official_ex_post
v1_matched,strong_complete_months,14,0.1199365498172237,3.649975659439856,-0.15514957321534928,-0.013965308651302136,9,0.04471327541305602,0.097461000124341,official_ex_post
0050,strong_complete_months,14,0.08194168107588325,1.9594310124759677,-0.4623033028454089,-0.05196017739264263,9,0.028750068004691303,0.0679307071364299,official_ex_post
