episode,start,end,mom20,mom20|turnover,mom20|cost,mom20|dq,mom20|warn,tsmc_formal,tsmc_formal|turnover,tsmc_formal|cost,tsmc_formal|dq,tsmc_formal|warn,tsmc_core_equal,tsmc_core_equal|turnover,tsmc_core_equal|cost,tsmc_core_equal|dq,tsmc_core_equal|warn,tsmc_blend_only,tsmc_blend_only|turnover,tsmc_blend_only|cost,tsmc_blend_only|dq,tsmc_blend_only|warn
dev_2015_01,2015-01-05,2015-02-05,-0.01403742779286854,3.370338872210958,0.008349297354441948,0,0,-0.019894502045183282,4.401024072013933,0.011229766590109554,0,0,-0.0008808711900861743,2.8463686156644012,0.006845786161270682,0,0,-0.03546400941444383,5.850250505400223,0.015407393618750606,0,0
dev_2015_01m,2015-01-15,2015-02-25,0.010532878806884804,3.715534878994607,0.009401405105838197,0,0,0.02513740752185556,4.9143329925154084,0.012946755257022918,0,0,0.045201605683825585,2.9781102305154232,0.007380272759954326,0,0,-0.013257496824231385,6.408850539842687,0.016957876131392803,0,0
dev_2015_02,2015-02-02,2015-03-16,0.027517638962781366,3.882701529786474,0.009981615490643029,0,0,0.02905667308257809,4.965714913906437,0.013219784130085125,0,0,0.02488886113775246,3.148852155895855,0.00783244915875397,0,0,0.029210905725810754,6.690817834861455,0.018221653592825307,0,0
dev_2015_02m,2015-02-24,2015-03-30,0.014979381883829745,3.7409302412057217,0.009732184799385308,0,0,-0.015091877442078072,4.671088832116156,0.01240609050138085,0,0,-0.002804110952961736,2.9949033521494153,0.007439921357829714,0,0,-0.008674849716258981,6.2550925702326685,0.01721148602551755,0,0
dev_2015_03,2015-03-02,2015-04-02,0.028218336895546425,3.489652472540173,0.008980622412592497,0,0,-0.0008429863916576963,4.362799967501397,0.011463632832397881,0,0,0.017250512362919412,2.82276247479193,0.006913962272181673,0,0,-0.000958830487602147,5.900930080238922,0.016050993978763063,0,0
dev_2015_03m,2015-03-16,2015-04-20,0.010289708664025676,3.8086727183836633,0.00972744755194523,0,0,-0.022811740365839994,4.425457029134863,0.011399628370707687,0,0,-0.0005878264344223449,3.105687827416159,0.007637222843476635,0,0,-0.024504365801058414,5.649211189163225,0.014881014683322405,0,0
dev_2015_04,2015-04-01,2015-05-07,0.006593872178368265,2.8395217149569634,0.006965879030852158,0,0,0.0005579741009940076,3.8232976297880583,0.009875618954550974,0,0,0.005123642534699879,2.578775976288672,0.006158661663323021,0,0,-0.0066273700788334056,5.14867943572076,0.013780839969340838,0,0
dev_2015_04m,2015-04-15,2015-05-19,5.9611560467853764e-05,3.04935769528179,0.007501630149228074,0,0,0.0025624848706264913,4.305491110184774,0.011243763637112393,0,0,0.004178307804025172,2.494996264542149,0.0059009825287603575,0,0,-0.006150495874843731,5.578607126585689,0.014892463094001837,0,0
dev_2015_05,2015-05-04,2015-06-04,-0.029495726597272065,2.994427556455121,0.007193051403976958,0,0,-0.037220000959727995,3.7394550558701836,0.009372246586008125,0,0,-0.03272562103265164,2.5109008775726336,0.005829088275147884,0,0,-0.04151684031279845,5.530874008378786,0.014404376078175352,0,0
dev_2015_05m,2015-05-15,2015-06-17,-0.008562634158625348,3.195632456928281,0.008008088290476629,0,0,-0.020277970031929327,3.9065250323877034,0.01003995105361459,0,0,-0.011773101671560982,2.6368210543485495,0.0062909126569591165,0,0,-0.020514446026407507,5.817800437976997,0.015795564523157665,0,0
dev_2015_06,2015-06-01,2015-07-03,-0.02625673306741294,4.0876668377591034,0.010037598880520415,0,0,-0.021252168225390222,4.386238110508721,0.01091989846669724,0,0,-0.01773431779982404,3.2111141481770806,0.007641284468316434,0,0,-0.032272445576627895,6.073562516090931,0.015517306600553551,0,0
dev_2015_06m,2015-06-15,2015-07-20,-0.023263478312701036,4.2700711884882505,0.010966394947688713,0,0,-0.0034305583360343395,4.333612951954509,0.011265083299455143,0,0,-0.016530297607495914,3.2978975787271017,0.008137721122633067,0,0,-0.009721313444519541,5.924772137704252,0.01596202997164375,0,0
dev_2015_07,2015-07-01,2015-08-04,-0.1041219932393529,4.689990345185565,0.011640921172607637,0,0,-0.09996988218270675,5.273785508200378,0.01329298856734384,0,0,-0.0848892976483484,3.6241192117685683,0.00877352376917079,0,0,-0.11669870920475378,6.88590036462828,0.017619563152930586,0,0
dev_2015_07m,2015-07-15,2015-08-17,-0.07837406163256344,3.6575238647962065,0.008782020538893723,0,0,-0.09370449463884711,4.636946689008472,0.01161032458164752,0,0,-0.08446271242134418,2.855257235862646,0.006598046264488334,0,0,-0.09286699563699374,6.031951190831499,0.01532122197221018,0,0
dev_2015_08,2015-08-03,2015-09-03,-0.04313299508353774,3.226954155425209,0.007703362726253053,0,0,-0.051425966733490314,4.48627111986133,0.01112070286838663,0,0,-0.044220888561367855,2.493784239637127,0.005614494969966422,0,0,-0.04567794662118552,5.612517802068487,0.014339948749432705,0,0
dev_2015_08m,2015-08-17,2015-09-17,-0.0002682714362679528,4.64591514064881,0.011673170854673452,0,0,0.0009901483861858296,5.588846569800383,0.014356762810704774,0,0,0.016308777563301957,3.3725948964447983,0.008223903626303156,0,0,-0.010572250713476339,7.433732033651445,0.019344639014459788,0,0
dev_2015_09,2015-09-01,2015-10-06,0.0674504095850117,4.7342199067326804,0.012708837361618168,0,0,0.05635847738964572,5.9134004075893145,0.016229798026911012,0,0,0.06569792098313698,3.5515282737821434,0.00915477372079819,0,0,0.05956988510849337,7.805519629564872,0.021953792900563627,0,0
dev_2015_09m,2015-09-15,2015-10-21,0.044914462497946506,3.9046937444885392,0.00999568258929394,0,0,0.05309757442854224,4.898349615919259,0.013074176629197498,0,0,0.051900551235649184,3.2319738907113544,0.008056966004236523,0,0,0.04031036865975546,6.7656005927284175,0.01851575595237705,0,0
dev_2015_10,2015-10-01,2015-11-04,0.07706899570126757,3.189125568041897,0.008125063030826439,0,0,0.07681412608181692,4.6959993163615845,0.012699107900698663,0,0,0.08028941883771368,2.611679412204534,0.006383025456818135,0,0,0.06844072211237973,6.6279478718609255,0.018475518138757724,0,0
dev_2015_10m,2015-10-15,2015-11-17,-0.010699054635957994,3.9981646964440767,0.010289829311883674,0,0,0.015566200579014255,4.949613050236411,0.01311762277843393,0,0,-0.0004795419578681459,2.9434854738712013,0.007200158344525712,0,0,0.011577548773484603,6.734006473921762,0.018403327205501415,0,0
dev_2015_11,2015-11-02,2015-12-03,0.04920132620876161,3.4728471936787884,0.008659447306277976,0,0,0.101821412668194,3.790936334068903,0.009763095811214215,0,0,0.05350481126179041,3.025047706286135,0.0074262371384422095,0,0,0.09606076682502107,5.094080569610573,0.013455969521562361,0,1
dev_2015_11m,2015-11-16,2015-12-17,0.1263706391983468,2.649961762151054,0.0066516112986176375,0,0,0.15060478117059062,2.796870238642631,0.007125358278001057,0,1,0.12175896120926,2.1884868035564415,0.005199373663497793,0,0,0.1732069706229964,3.481927254244534,0.009404154062256457,0,2
dev_2015_12,2015-12-01,2016-01-04,0.006240985490443496,2.6850791797306,0.006574556540701217,0,0,-0.005051144229965998,2.6040849680786295,0.006241640079243446,0,1,0.002272111907340557,2.098329033469947,0.004810289537707844,0,0,0.0034894604107469362,3.2020406955298926,0.008127830886616757,0,1
dev_2015_12m,2015-12-15,2016-01-18,-0.04237674177910267,3.779881843388896,0.009537426093714213,0,0,-0.03949897845932937,3.921211365378105,0.01003955042084986,0,0,-0.03766309789849209,3.0766127764451996,0.007499091124362344,0,0,-0.04100242719144498,5.0906494515844525,0.013546140927157965,0,0
dev_2016_01,2016-01-04,2016-02-15,-0.00701113654166774,5.057674457390622,0.012937716299729984,0,0,0.016291636031342538,4.269603944509239,0.010733494578256156,0,0,0.005986059833951396,3.6799135218729626,0.009067442806078602,0,0,0.00855211634012587,6.0653548215147195,0.015823253359315663,0,0
dev_2016_01m,2016-01-15,2016-02-26,0.1126132721646016,3.7471726566271415,0.009821533282809864,0,0,0.13738216014487925,3.985894055733702,0.01071705380837669,0,0,0.11228460210913749,2.8820660111137726,0.007236952553728788,0,0,0.14264844517302366,5.70374318574886,0.01598959622268517,0,0
